,AAPL,ABC,AMZN,BAC,BP,BRK-B,CVS,DDAIF,F,GOOG,JPM,MCK,MSFT,RDS-B,T,TM,TOT,UNH,WMT,XOM,mu
AAPL,0.0020855719992447412,0.0003503897860804457,0.0009644170899268521,0.00093913121477422,0.0006155398252245402,0.0004170640771167677,0.0005099969295830922,0.0010218072206639448,0.001043502169984418,0.0009372635926430268,0.0007888557176238216,0.00045434795773065137,0.0006338331837221949,0.0005974906356391407,0.0004112051877447095,0.0005001036419908483,0.0006866573046576388,0.0006460154605312808,0.00029751175257074057,0.00045625130530934754,0.3812556807189018
ABC,0.0003503897860804457,0.0011155860189265897,0.0003974262804623328,0.00071406055046513,0.0003926429787574805,0.0003281702609843303,0.0004833784585828243,0.0006799994814971787,0.0006526713554552057,0.0004596946418721658,0.0005382610915992036,0.0008694032827360483,0.0003821671292131674,0.0004214347020130632,0.00033060815583865554,0.0003525355066206475,0.0004022587684003336,0.0006862384603866837,0.0002674486925759647,0.0003673012012431951,0.16611691280191576
AMZN,0.0009644170899268521,0.0003974262804623328,0.0025023639394477115,0.0009404918651537313,0.0004417986274100487,0.00044845987726735783,0.00044310460992361437,0.0009917937300853664,0.0010875665426553066,0.0009724638581362284,0.0007712433051538263,0.0004286491241981136,0.0006992627107715092,0.0005055951812075932,0.00033387642051451133,0.000493356052352811,0.0005440198858719063,0.0005634884866119218,0.0003076666084041125,0.000380227501791152,0.38742093139131617
BAC,0.00093913121477422,0.00071406055046513,0.0009404918651537313,0.00475510625051599,0.0011511933261261304,0.0013099816540531515,0.0006772763959500617,0.00189525745640207,0.0027141380990431097,0.0009353689637913566,0.002875640762544604,0.0008169879631365311,0.0007689109367352064,0.0010323831347542785,0.000794916470668817,0.0008362224707873826,0.0011361812378538098,0.00142668829693004,0.00041238087451925384,0.000891582885869514,0.12267144871448998
BP,0.0006155398252245402,0.0003926429787574805,0.0004417986274100487,0.0011511933261261304,0.0017508056161818655,0.0005093805124108231,0.0004704278363235695,0.0012278550999144453,0.0012559686068721685,0.0006028718088404642,0.0008827967578576124,0.0005195929428100769,0.0004909933113156841,0.0013690006839984612,0.0005003710395650811,0.0005551352786250928,0.0013817088365713306,0.0006722788406407618,0.00020878313970048288,0.0009703570447604168,0.034107160936568404
BRK-B,0.0004170640771167677,0.0003281702609843303,0.00044845987726735783,0.0013099816540531515,0.0005093805124108231,0.0009188754504935657,0.0003443189193393841,0.0008055776508439573,0.0010968643915601705,0.00044963382413726544,0.0009933997376438042,0.000394854543076679,0.00034120385610619477,0.0005056208105758143,0.0004192488651056342,0.00032650308097288103,0.0005372226801871452,0.0005513843805449963,0.00022195937150145314,0.00043974615498970046,0.11233805136073638
CVS,0.0005099969295830922,0.0004833784585828243,0.00044310460992361437,0.0006772763959500617,0.0004704278363235695,0.0003443189193393841,0.00122386014923851,0.0006332375970334488,0.000720785218381203,0.0004195824386748778,0.0006593057377506548,0.0005449869430722449,0.000386417129987919,0.00048565918627342485,0.0004195842911658298,0.0003351036895524501,0.0005073419318079245,0.0005559290298111157,0.0002927370692003793,0.00043978395728174667,0.1088539168955045
DDAIF,0.0010218072206639448,0.0006799994814971787,0.0009917937300853664,0.00189525745640207,0.0012278550999144453,0.0008055776508439573,0.0006332375970334488,0.0028882568720215375,0.0021388110216187745,0.0009440440301732193,0.0014440696998735665,0.0007908426629589677,0.0008219249715644983,0.0012438200089186376,0.0007504630335204309,0.0009667939834602765,0.0014477245261940656,0.001026616013767427,0.00031926513341283086,0.000935817470707954,0.1386889516142067
F,0.001043502169984418,0.0006526713554552057,0.0010875665426553066,0.0027141380990431097,0.0012559686068721685,0.0010968643915601705,0.000720785218381203,0.0021388110216187745,0.004597449146505069,0.0010563633056540702,0.002008997330790481,0.0009357958623378676,0.0008707616881234554,0.0012116793431611488,0.0008787755786306032,0.0009065167503778744,0.0012334295854078644,0.001258303589855232,0.00040354210472028345,0.0009454289340226345,0.14221204304538637
GOOG,0.0009372635926430268,0.0004596946418721658,0.0009724638581362284,0.0009353689637913566,0.0006028718088404642,0.00044963382413726544,0.0004195824386748778,0.0009440440301732193,0.0010563633056540702,0.0016598235505912561,0.0007884620111353008,0.0005240576992178645,0.0006898807815766045,0.0006470701440456786,0.000440554568200434,0.0004943863158158668,0.0006606130573165454,0.0006747426704632115,0.000259744036448756,0.0005331990359289306,0.2533510059946935
JPM,0.0007888557176238216,0.0005382610915992036,0.0007712433051538263,0.002875640762544604,0.0008827967578576124,0.0009933997376438042,0.0006593057377506548,0.0014440696998735665,0.002008997330790481,0.0007884620111353008,0.0025682183431156155,0.0005876731043612448,0.0006079039022561432,0.0008163604069761425,0.0006778149145128102,0.0006149464664164667,0.0009001663212465715,0.0008890403512244248,0.0003551413080041685,0.0007240664877387091,0.18546017420714112
MCK,0.00045434795773065137,0.0008694032827360483,0.0004286491241981136,0.0008169879631365311,0.0005195929428100769,0.000394854543076679,0.0005449869430722449,0.0007908426629589677,0.0009357958623378676,0.0005240576992178645,0.0005876731043612448,0.0014806138787613853,0.0004209797765926208,0.0005664489545866536,0.0003838800045421523,0.0004082436934908383,0.0005100561669852811,0.0008460381026868865,0.0002975118546474153,0.000417529849269479,0.1436019500231851
MSFT,0.0006338331837221949,0.0003821671292131674,0.0006992627107715092,0.0007689109367352064,0.0004909933113156841,0.00034120385610619477,0.000386417129987919,0.0008219249715644983,0.0008707616881234554,0.0006898807815766045,0.0006079039022561432,0.0004209797765926208,0.0011634387233267496,0.000527637100623568,0.00036102895022472383,0.0004004688065469426,0.0004974489421568153,0.0005984456380250697,0.0003025696723967888,0.00043263471872783467,0.1995533571714867
RDS-B,0.0005974906356391407,0.0004214347020130632,0.0005055951812075932,0.0010323831347542785,0.0013690006839984612,0.0005056208105758143,0.00048565918627342485,0.0012438200089186376,0.0012116793431611488,0.0006470701440456786,0.0008163604069761425,0.0005664489545866536,0.000527637100623568,0.0016486162218021293,0.0005010944873842942,0.0005200444835438658,0.0013957244960201693,0.0006649553284883366,0.00023131584429533599,0.0009812637179251868,0.054238723305622516
T,0.0004112051877447095,0.00033060815583865554,0.00033387642051451133,0.000794916470668817,0.0005003710395650811,0.0004192488651056342,0.0004195842911658298,0.0007504630335204309,0.0008787755786306032,0.000440554568200434,0.0006778149145128102,0.0003838800045421523,0.00036102895022472383,0.0005010944873842942,0.0008587514579375615,0.00035239059132308447,0.000529161726901157,0.0005274361092928567,0.00026061133870741916,0.0004737035451517859,0.08479989686330436
TM,0.0005001036419908483,0.0003525355066206475,0.000493356052352811,0.0008362224707873826,0.0005551352786250928,0.00032650308097288103,0.0003351036895524501,0.0009667939834602765,0.0009065167503778744,0.0004943863158158668,0.0006149464664164667,0.0004082436934908383,0.0004004688065469426,0.0005200444835438658,0.00035239059132308447,0.0010107669061310508,0.0006063586942721644,0.0004896195730678957,0.00022878681317219158,0.00044727524035420563,0.08174686436180512
TOT,0.0006866573046576388,0.0004022587684003336,0.0005440198858719063,0.0011361812378538098,0.0013817088365713306,0.0005372226801871452,0.0005073419318079245,0.0014477245261940656,0.0012334295854078644,0.0006606130573165454,0.0009001663212465715,0.0005100561669852811,0.0004974489421568153,0.0013957244960201693,0.000529161726901157,0.0006063586942721644,0.0017013076471051288,0.000693811850788363,0.00021532051807751296,0.0009795138719593604,0.08163802848142043
UNH,0.0006460154605312808,0.0006862384603866837,0.0005634884866119218,0.00142668829693004,0.0006722788406407618,0.0005513843805449963,0.0005559290298111157,0.001026616013767427,0.001258303589855232,0.0006747426704632115,0.0008890403512244248,0.0008460381026868865,0.0005984456380250697,0.0006649553284883366,0.0005274361092928567,0.0004896195730678957,0.000693811850788363,0.0020927722622107875,0.0003101171812815242,0.0005435172555778102,0.19699902753875342
WMT,0.00029751175257074057,0.0002674486925759647,0.0003076666084041125,0.00041238087451925384,0.00020878313970048288,0.00022195937150145314,0.0002927370692003793,0.00031926513341283086,0.00040354210472028345,0.000259744036448756,0.0003551413080041685,0.0002975118546474153,0.0003025696723967888,0.00023131584429533599,0.00026061133870741916,0.00022878681317219158,0.00021532051807751296,0.0003101171812815242,0.0007129206025231527,0.0002243262638890785,0.09676605901750257
XOM,0.00045625130530934754,0.0003673012012431951,0.000380227501791152,0.000891582885869514,0.0009703570447604168,0.00043974615498970046,0.00043978395728174667,0.000935817470707954,0.0009454289340226345,0.0005331990359289306,0.0007240664877387091,0.000417529849269479,0.00043263471872783467,0.0009812637179251868,0.0004737035451517859,0.00044727524035420563,0.0009795138719593604,0.0005435172555778102,0.0002243262638890785,0.0010584610629716872,0.04913353857223646
